accession,cik,name,filing_date,acceptance_et,after_hours,items,llm_label
0001093557-25-000111,0001093557,DEXCOM INC,2025-05-01,2025-05-01T16:03:07-04:00,True,"2.02,8.01,9.01",OTHER
0001093557-25-000047,0001093557,DEXCOM INC,2025-03-07,2025-03-07T16:30:19-05:00,True,"7.01,8.01",REGULATORY
0001093557-24-000143,0001093557,DEXCOM INC,2024-07-25,2024-07-25T16:05:15-04:00,True,"2.02,8.01,9.01",OTHER
0001093557-23-000222,0001093557,DEXCOM INC,2023-11-02,2023-11-02T16:19:16-04:00,True,8.01,OTHER
0001093557-23-000218,0001093557,DEXCOM INC,2023-10-26,2023-10-26T16:04:04-04:00,True,8.01,OTHER
0001093557-23-000191,0001093557,DEXCOM INC,2023-08-28,2023-08-28T08:41:53-04:00,False,"5.02,8.01,9.01",OTHER
0001193125-23-137248,0001093557,DEXCOM INC,2023-05-05,2023-05-05T17:16:52-04:00,True,"1.01,2.03,3.02,8.01,9.01",OTHER
0001193125-23-133137,0001093557,DEXCOM INC,2023-05-03,2023-05-03T07:19:12-04:00,False,"8.01,9.01",OTHER
0001193125-23-131265,0001093557,DEXCOM INC,2023-05-02,2023-05-02T07:16:00-04:00,False,"8.01,9.01",OTHER
0001093557-22-000151,0001093557,DEXCOM INC,2022-08-05,2022-08-05T16:52:04-04:00,True,8.01,OTHER
0001093557-22-000145,0001093557,DEXCOM INC,2022-07-28,2022-07-28T16:23:27-04:00,True,8.01,OTHER
0001193125-22-005104,0001093557,DEXCOM INC,2022-01-10,2022-01-10T08:00:59-05:00,False,"2.02,8.01,9.01",OTHER
0001193125-21-336940,0001093557,DEXCOM INC,2021-11-22,2021-11-22T17:03:02-05:00,True,"8.01,9.01",OTHER
0001193125-21-205018,0001093557,DEXCOM INC,2021-07-01,2021-06-30T18:58:00-04:00,True,8.01,OTHER
0001093557-20-000278,0001093557,DEXCOM INC,2020-10-13,2020-10-13T10:50:00-04:00,False,"5.02,8.01,9.01",OTHER
0001193125-20-217131,0001093557,DEXCOM INC,2020-08-12,2020-08-12T09:13:55-04:00,False,"5.02,8.01,9.01",OTHER
0001193125-20-182596,0001093557,DEXCOM INC,2020-06-29,2020-06-29T18:28:19-04:00,True,"8.01,9.01",OTHER
0001193125-20-143408,0001093557,DEXCOM INC,2020-05-15,2020-05-15T08:07:11-04:00,False,"1.01,2.03,3.02,8.01,9.01",OTHER
0001193125-20-139830,0001093557,DEXCOM INC,2020-05-12,2020-05-12T07:50:10-04:00,False,"8.01,9.01",OTHER
0001193125-20-138228,0001093557,DEXCOM INC,2020-05-11,2020-05-11T07:13:39-04:00,False,"8.01,9.01",OTHER
0001093557-19-000209,0001093557,DEXCOM INC,2019-09-18,2019-09-17T18:29:13-04:00,True,"5.02,8.01",OTHER
0001193125-25-258519,0000943819,RESMED INC,2025-10-30,2025-10-30T16:06:11-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-25-170512,0000943819,RESMED INC,2025-07-31,2025-07-31T16:05:17-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-25-091357,0000943819,RESMED INC,2025-04-23,2025-04-23T16:05:31-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-25-017218,0000943819,RESMED INC,2025-01-30,2025-01-30T16:05:28-05:00,True,"2.02,8.01,9.01",OTHER
0001193125-24-242806,0000943819,RESMED INC,2024-10-24,2024-10-24T16:05:51-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-24-191487,0000943819,RESMED INC,2024-08-01,2024-08-01T16:05:55-04:00,True,"2.02,8.01,9.01",OTHER
